id,location,sample date,Water temperature,Dissolved oxygen,Ammonium,Nitrites,Nitrates,Orthophosphate-phosphorus,Total phosphorus,Sodium,Potassium,Calcium,Magnesium,Chlorides,Sulphates,Iron,Manganese,Zinc,Copper,Chromium,Lead,Cadmium,Mercury,Nickel,Arsenic,Biochemical Oxygen,Chemical Oxygen Demand (Cr),Chemical Oxygen Demand (Mn),AOX,Atrazine,Cesium,Macrozoobenthos,Total coliforms,Fecal coliforms,"p,p-DDT",gamma-Hexachlorocyclohexane,Bicarbonates,Anionic active surfactants,Total extractable matter,Fecal streptococci ,Petroleum hydrocarbons,PAHs,Benzo(a)pyrene,"Benzo(g,h,i)perylene",Benzo(b)fluoranthene,Benzo(k)fluoranthene,Fluoranthene,"Indeno(1,2,3-c,d)pyrene",PCB 28,PCB 52,PCB 101,PCB 138,PCB 153,PCB 180,Silica (SiO2),Oxygen saturation,Total hardness,Total dissolved salts,Heptachloroepoxide,Heptachlor,Endosulfan (alpha),Endosulfan (beta),"p,p-DDD","p,p-DDE",alpha-Hexachlorocyclohexane,beta-Hexaxchlorocyclohexane,Aldrin,Dieldrin,Endrin,Methoxychlor,Simazine,Metolachlor,Alachlor,Carbonates,Total nitrogen,Tetrachloromethane,Barium,Cyanides,Sulfides,Selenium,Total organic carbon,"1,2,4-Trichlorobenzene","1,2,3-Trichlorobenzene",Pentachlorobenzene,Acenaphthene,Acenaphthylene,Anthracene,Benzo(a)anthracene,Chrysene,Naphthalene,Phenanthrene,Pyrene,Hexachlorobenzene,Isodrin,Aluminium,Dissolved organic carbon,Dissolved silicates,Organic nitrogen,Fluorene,PCB 118,Trifluralin,Inorganic nitrogen,Berilium,Boron,AGOC-3A,Methylosmoline,Chlorodinine,Total dissolved phosphorus,day,month,year
,Boonsri,07-Nov-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.598,1.7830000000000001,0.25866666666666666,,7.0,11.0,2015.0
,Boonsri,09-Sep-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,0.3143333333333333,0.24699999999999997,,9.0,9.0,2015.0
,Boonsri,1-Aug-14,24.733333333333334,6.416666666666667,0.07166666666666667,0.041,0.8456666666666668,0.107,0.17866666666666667,14.0,2.0,38.81333333333333,8.083333333333334,14.319999999999999,34.28333333333334,,,,,,,,,,,1.91,10.4,2.56,,,,,,,,,152.09333333333333,0.12466666666666666,,,,,,,,,,,,,,,,,,78.8,133.70666666666668,199.0,,,,,,,,,,,,,,,,,1.1133333333333335,,,,,,,,,,,,,,,,,,,,,,2.966666666666667,,,,,,,,,,,,1.0,8.0,2014.0
,Boonsri,1-Aug-15,27.666666666666668,,0.056333333333333326,0.023000000000000003,0.9366666666666665,0.04466666666666667,0.059,,,,,,,,,,,,,,,,,1.3399999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3233333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053,1.0,8.0,2015.0
,Boonsri,1-Nov-08,13.0,9.123333333333335,0.168,0.02566666666666667,1.1296666666666668,0.017333333333333336,0.06666666666666667,21.0,3.0,55.81333333333333,20.69333333333333,25.80333333333333,55.56,,0.007,,,,,,,,,2.2466666666666666,10.406666666666668,3.52,,,,,,,,,213.5,0.04633333333333333,,,,,,,,,,,,,,,,,5.298,85.90666666666668,106.67999999999999,293.0,,,,,,,,,,,,,,,,,,,,,0.10000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,11.0,2008.0
,Boonsri,10-Apr-03,11.833333333333334,8.533333333333333,0.236,0.041,1.1066666666666667,0.042,0.11566666666666665,,,47.080000000000005,11.963333333333333,18.333333333333332,35.52666666666667,0.38999999999999996,0.03366666666666667,,,,,,,0.026,,2.776666666666667,9.6,5.38,,,,,5.066666666666666,1.6966666666666665,,,168.76666666666668,0.03233333333333333,,0.029666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,4.0,2003.0
,Boonsri,10-Aug-06,22.833333333333332,5.466666666666666,0.09800000000000002,0.041,0.5806666666666667,0.09366666666666666,0.103,18.0,3.0,45.86666666666667,10.633333333333333,21.866666666666664,33.199999999999996,0.2763333333333333,0.041499999999999995,16.0,3.3703333333333334,0.729,6.979666666666667,0.5766666666666667,0.04766666666666667,1.719,,,,,,0.26033333333333336,,1.86,,,0.016333333333333335,0.042333333333333334,164.7,0.041,,,,,,,,,,,,,,,,,3.34,64.06666666666666,88.5,916.3333333333334,0.005,0.006000000000000001,0.09166666666666667,0.15433333333333335,0.042666666666666665,0.028666666666666663,0.021666666666666667,0.03233333333333333,0.1496666666666667,0.037333333333333336,0.057,,0.3513333333333333,0.208,0.437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,8.0,2006.0
,Boonsri,10-Aug-08,24.333333333333332,7.19,0.2223333333333333,0.019,1.1296666666666668,0.016333333333333335,0.024666666666666667,16.666666666666668,2.0,53.72,11.963333333333333,21.416666666666668,46.74666666666667,,0.06,,,,,,,,,1.9100000000000001,10.58,2.9499999999999997,,,,,,,,,170.80000000000004,0.044000000000000004,,,,,,,,,,,,,,,,,2.839,84.91666666666667,105.0,243.33333333333334,,,,,,,,,,,,,,,,,,,,,0.10000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,8.0,2008.0
,Boonsri,10-Dec-16,7.0,11.543333333333331,0.10933333333333334,0.014333333333333332,1.0743333333333334,0.03933333333333334,0.059,19.0,2.0,47.379999999999995,11.316666666666668,18.080333333333332,29.403333333333336,,,,,,,,,,,1.7866666666666664,10.08,1.9433333333333334,12.566666666666668,0.0,,,,,0.0,0.0,181.17,0.125,,,0.0,,,,,,,,,,,,,,,98.14999999999999,164.15,269.6666666666667,,,,,,,,,,,,,,,,,1.63,,,,,,3.111,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04866666666666667,10.0,12.0,2016.0
,Boonsri,10-Feb-00,3.6,11.633333333333333,0.36999999999999994,0.02,2.0666666666666664,0.04,0.13,16.666666666666668,3.533333333333333,60.53333333333334,19.4,22.633333333333336,38.86666666666667,0.9500000000000001,0.06333333333333334,92.0,24.423333333333332,15.910000000000002,20.76,1.4233333333333336,,,,4.433333333333334,11.033333333333331,6.433333333333334,,0.02,,1.8999999999999997,0.13333333333333333,0.02,0.04,0.03333333333333333,217.66666666666666,0.043333333333333335,,0.011666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2.0,2000.0
